Name,Scope Project1,
File,E:\LN2min.csv,
Starttime of export,133327233574060000,Sonntag, 2. Juli 2023,00:15:57.406
Endtime of export,133327234774160000,Sonntag, 2. Juli 2023,00:17:57.416


Name,ELM3602_Ch1_Value_ScaledSend,Name,ELM3604_Ch3_Value_ScaledSend,Name,ELM3604_Ch1_Value_ScaledSend,Name,ELM3604_Ch2_Value_ScaledSend
SymbolComment,,SymbolComment,,SymbolComment,Sendewert über OPC-UA wenn DINT,SymbolComment,
Data-Type,INT32,Data-Type,INT32,Data-Type,INT32,Data-Type,INT32
SampleTime[ms],5,SampleTime[ms],5,SampleTime[ms],5,SampleTime[ms],5
VariableSize,4,VariableSize,4,VariableSize,4,VariableSize,4
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
IndexGroup,61472,IndexGroup,61472,IndexGroup,61472,IndexGroup,61472
IndexOffset,469360,IndexOffset,472128,IndexOffset,470744,IndexOffset,471436
SymbolName,Messdaten.ELM3602_Ch1_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch3_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch1_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch2_Value_ScaledSend
NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1
Port,851,Port,851,Port,851,Port,851
Offset,0,Offset,0,Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None),Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0

133327233574060000,15,133327233574060000,2,133327233574060000,1,133327233574060000,1
133327233574110000,-4,133327233574110000,1,133327233574110000,2,133327233574110000,1
133327233574160000,-33,133327233574160000,-1,133327233574160000,0,133327233574160000,1
133327233574210000,-14,133327233574210000,-2,133327233574210000,0,133327233574210000,0
133327233574260000,-15,133327233574260000,1,133327233574260000,1,133327233574260000,-2
133327233574310000,20,133327233574310000,0,133327233574310000,0,133327233574310000,-2
133327233574360000,20,133327233574360000,2,133327233574360000,2,133327233574360000,-1
133327233574410000,-8,133327233574410000,-1,133327233574410000,5,133327233574410000,-2
133327233574460000,-29,133327233574460000,2,133327233574460000,-1,133327233574460000,1
133327233574510000,12,133327233574510000,1,133327233574510000,-3,133327233574510000,1
133327233574560000,15,133327233574560000,-3,133327233574560000,4,133327233574560000,0
133327233574610000,-6,133327233574610000,2,133327233574610000,4,133327233574610000,2
133327233574660000,-4,133327233574660000,-3,133327233574660000,-2,133327233574660000,3
133327233574710000,-1,133327233574710000,1,133327233574710000,-1,133327233574710000,-2
133327233574760000,-17,133327233574760000,0,133327233574760000,-4,133327233574760000,0
133327233574810000,-15,133327233574810000,1,133327233574810000,-1,133327233574810000,1
133327233574860000,11,133327233574860000,1,133327233574860000,0,133327233574860000,3
133327233574910000,-16,133327233574910000,-2,133327233574910000,2,133327233574910000,2
133327233574960000,-20,133327233574960000,-2,133327233574960000,0,133327233574960000,0
133327233575010000,-5,133327233575010000,0,133327233575010000,1,133327233575010000,-1
133327233575060000,-11,133327233575060000,0,133327233575060000,1,133327233575060000,0
133327233575110000,10,133327233575110000,1,133327233575110000,-2,133327233575110000,0
133327233575160000,20,133327233575160000,-1,133327233575160000,2,133327233575160000,1
133327233575210000,4,133327233575210000,0,133327233575210000,1,133327233575210000,4
133327233575260000,16,133327233575260000,2,133327233575260000,0,133327233575260000,-2
133327233575310000,10,133327233575310000,0,133327233575310000,-1,133327233575310000,-1
133327233575360000,1,133327233575360000,2,133327233575360000,3,133327233575360000,1
133327233575410000,-26,133327233575410000,-3,133327233575410000,-1,133327233575410000,1
133327233575460000,21,133327233575460000,3,133327233575460000,2,133327233575460000,2
133327233575510000,-1,133327233575510000,2,133327233575510000,2,133327233575510000,0
133327233575560000,-2,133327233575560000,-3,133327233575560000,-1,133327233575560000,1
133327233575610000,18,133327233575610000,-3,133327233575610000,-1,133327233575610000,1
133327233575660000,8,133327233575660000,3,133327233575660000,-1,133327233575660000,0
133327233575710000,7,133327233575710000,2,133327233575710000,0,133327233575710000,-2
133327233575760000,4,133327233575760000,2,133327233575760000,0,133327233575760000,-2
133327233575810000,9,133327233575810000,-1,133327233575810000,-1,133327233575810000,1
133327233575860000,-18,133327233575860000,1,133327233575860000,0,133327233575860000,2
133327233575910000,-6,133327233575910000,-2,133327233575910000,3,133327233575910000,1
133327233575960000,-8,133327233575960000,-1,133327233575960000,0,133327233575960000,0
133327233576010000,15,133327233576010000,1,133327233576010000,-1,133327233576010000,1
133327233576060000,25,133327233576060000,2,133327233576060000,-1,133327233576060000,0
133327233576110000,-13,133327233576110000,1,133327233576110000,0,133327233576110000,1
133327233576160000,-11,133327233576160000,2,133327233576160000,2,133327233576160000,1
133327233576210000,-21,133327233576210000,3,133327233576210000,1,133327233576210000,1
133327233576260000,4,133327233576260000,-2,133327233576260000,2,133327233576260000,1
133327233576310000,1,133327233576310000,0,133327233576310000,-1,133327233576310000,-1
133327233576360000,10,133327233576360000,1,133327233576360000,1,133327233576360000,-1
133327233576410000,20,133327233576410000,-2,133327233576410000,-1,133327233576410000,1
133327233576460000,-16,133327233576460000,1,133327233576460000,1,133327233576460000,2
133327233576510000,-15,133327233576510000,0,133327233576510000,0,133327233576510000,0
133327233576560000,8,133327233576560000,-2,133327233576560000,0,133327233576560000,-4
133327233576610000,-36,133327233576610000,1,133327233576610000,1,133327233576610000,0
133327233576660000,-3,133327233576660000,2,133327233576660000,0,133327233576660000,2
133327233576710000,2,133327233576710000,-1,133327233576710000,-1,133327233576710000,0
133327233576760000,16,133327233576760000,0,133327233576760000,1,133327233576760000,-1
