Name,Scope Project1,
File,E:\RT2min.csv,
Starttime of export,133340919360180000,Montag, 17. Juli 2023,20:25:36.018
Endtime of export,133340920560180000,Montag, 17. Juli 2023,20:27:36.018


Name,ELM3602_Ch1_Value_ScaledSend,Name,ELM3604_Ch3_Value_ScaledSend,Name,ELM3604_Ch1_Value_ScaledSend,Name,ELM3604_Ch2_Value_ScaledSend
SymbolComment,,SymbolComment,,SymbolComment,Sendewert über OPC-UA wenn DINT,SymbolComment,
Data-Type,INT32,Data-Type,INT32,Data-Type,INT32,Data-Type,INT32
SampleTime[ms],5,SampleTime[ms],5,SampleTime[ms],5,SampleTime[ms],5
VariableSize,4,VariableSize,4,VariableSize,4,VariableSize,4
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
IndexGroup,61472,IndexGroup,61472,IndexGroup,61472,IndexGroup,61472
IndexOffset,469360,IndexOffset,472128,IndexOffset,470744,IndexOffset,471436
SymbolName,Messdaten.ELM3602_Ch1_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch3_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch1_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch2_Value_ScaledSend
NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1
Port,851,Port,851,Port,851,Port,851
Offset,0,Offset,0,Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None),Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0

133340919360180000,0,133340919360180000,-1,133340919360180000,-1,133340919360180000,0
133340919360230000,21,133340919360230000,-1,133340919360230000,1,133340919360230000,0
133340919360280000,-14,133340919360280000,1,133340919360280000,-1,133340919360280000,0
133340919360330000,1,133340919360330000,0,133340919360330000,1,133340919360330000,0
133340919360380000,-4,133340919360380000,1,133340919360380000,0,133340919360380000,1
133340919360430000,-39,133340919360430000,1,133340919360430000,-2,133340919360430000,-1
133340919360480000,10,133340919360480000,2,133340919360480000,-2,133340919360480000,-1
133340919360530000,5,133340919360530000,1,133340919360530000,2,133340919360530000,-1
133340919360580000,5,133340919360580000,1,133340919360580000,3,133340919360580000,-1
133340919360630000,-5,133340919360630000,-2,133340919360630000,1,133340919360630000,5
133340919360680000,-5,133340919360680000,0,133340919360680000,1,133340919360680000,1
133340919360730000,11,133340919360730000,3,133340919360730000,0,133340919360730000,-1
133340919360780000,10,133340919360780000,-1,133340919360780000,-2,133340919360780000,3
133340919360830000,-1,133340919360830000,1,133340919360830000,-1,133340919360830000,0
133340919360880000,0,133340919360880000,1,133340919360880000,1,133340919360880000,-1
133340919360930000,-1,133340919360930000,-3,133340919360930000,2,133340919360930000,-1
133340919360980000,-17,133340919360980000,-3,133340919360980000,-1,133340919360980000,0
133340919361030000,16,133340919361030000,1,133340919361030000,-3,133340919361030000,-1
133340919361080000,8,133340919361080000,1,133340919361080000,0,133340919361080000,-3
133340919361130000,11,133340919361130000,0,133340919361130000,0,133340919361130000,-1
133340919361180000,23,133340919361180000,-1,133340919361180000,-1,133340919361180000,-1
133340919361230000,4,133340919361230000,0,133340919361230000,-1,133340919361230000,4
133340919361280000,15,133340919361280000,0,133340919361280000,0,133340919361280000,-1
133340919361330000,22,133340919361330000,-2,133340919361330000,-1,133340919361330000,0
133340919361380000,10,133340919361380000,-1,133340919361380000,2,133340919361380000,0
133340919361430000,-1,133340919361430000,-1,133340919361430000,-4,133340919361430000,0
133340919361480000,19,133340919361480000,-3,133340919361480000,0,133340919361480000,0
133340919361530000,11,133340919361530000,-3,133340919361530000,-1,133340919361530000,0
133340919361580000,-14,133340919361580000,-1,133340919361580000,0,133340919361580000,-1
133340919361630000,3,133340919361630000,-2,133340919361630000,1,133340919361630000,-2
133340919361680000,-6,133340919361680000,2,133340919361680000,-5,133340919361680000,1
133340919361730000,4,133340919361730000,1,133340919361730000,-1,133340919361730000,2
133340919361780000,-17,133340919361780000,-3,133340919361780000,-1,133340919361780000,3
133340919361830000,20,133340919361830000,1,133340919361830000,0,133340919361830000,-1
133340919361880000,4,133340919361880000,2,133340919361880000,-1,133340919361880000,-1
133340919361930000,6,133340919361930000,0,133340919361930000,0,133340919361930000,1
133340919361980000,9,133340919361980000,-3,133340919361980000,-2,133340919361980000,-2
133340919362030000,32,133340919362030000,1,133340919362030000,1,133340919362030000,-2
133340919362080000,10,133340919362080000,-2,133340919362080000,-1,133340919362080000,0
133340919362130000,-7,133340919362130000,1,133340919362130000,0,133340919362130000,0
133340919362180000,-3,133340919362180000,-2,133340919362180000,1,133340919362180000,-2
133340919362230000,8,133340919362230000,0,133340919362230000,2,133340919362230000,1
133340919362280000,6,133340919362280000,0,133340919362280000,-1,133340919362280000,2
133340919362330000,16,133340919362330000,-1,133340919362330000,2,133340919362330000,2
133340919362380000,-10,133340919362380000,0,133340919362380000,-1,133340919362380000,-2
133340919362430000,16,133340919362430000,-6,133340919362430000,0,133340919362430000,0
133340919362480000,9,133340919362480000,3,133340919362480000,-2,133340919362480000,2
133340919362530000,5,133340919362530000,0,133340919362530000,1,133340919362530000,-2
133340919362580000,5,133340919362580000,-1,133340919362580000,0,133340919362580000,-1
133340919362630000,-7,133340919362630000,-2,133340919362630000,2,133340919362630000,1
133340919362680000,1,133340919362680000,0,133340919362680000,0,133340919362680000,-2
133340919362730000,-6,133340919362730000,4,133340919362730000,-4,133340919362730000,-4
133340919362780000,0,133340919362780000,-2,133340919362780000,2,133340919362780000,1
133340919362830000,17,133340919362830000,0,133340919362830000,1,133340919362830000,-1
133340919362880000,13,133340919362880000,-2,133340919362880000,0,133340919362880000,-2
